epoch,train_loss,train_dice,val_loss,val_dice,lat_norm2
1,1.454872,0.0029,1.237274,0.0000,1.0112
2,1.181396,0.0031,1.162925,0.0000,0.9004
3,1.136186,0.0064,1.120549,0.0068,0.9869
4,1.094751,0.0528,1.057604,0.1783,0.9669
5,1.017355,0.2067,0.905376,0.4331,1.0601
6,0.836333,0.3979,0.681756,0.5523,1.1009
7,0.712926,0.4851,0.568391,0.6242,1.0864
8,0.646145,0.5370,0.537885,0.6194,1.0752
9,0.609508,0.5643,0.514914,0.6471,1.0552
10,0.569985,0.5974,0.555638,0.6310,1.0768
11,0.549229,0.6122,0.591335,0.6045,1.0942
12,0.536838,0.6226,0.526556,0.6574,1.1242
13,0.512312,0.6411,0.470268,0.6867,1.0793
14,0.481611,0.6672,0.420299,0.7362,1.1725
15,0.450827,0.6956,0.454118,0.7003,1.1656
16,0.437035,0.7084,0.416017,0.7255,1.0957
17,0.408999,0.7285,0.392721,0.7365,1.2515
18,0.378931,0.7532,0.380431,0.7439,1.2790
19,0.364761,0.7603,0.354976,0.7647,1.1255
20,0.348827,0.7739,0.406612,0.7283,1.2272
21,0.335335,0.7826,0.361392,0.7500,1.2244
22,0.310881,0.7985,0.336053,0.7680,1.2191
23,0.300057,0.8049,0.351607,0.7592,1.2179
24,0.295468,0.8076,0.320497,0.7898,1.1605
25,0.285352,0.8147,0.373446,0.7444,1.1693
26,0.272867,0.8225,0.334583,0.7698,1.2128
27,0.270966,0.8221,0.321508,0.7748,1.3583
28,0.272408,0.8219,0.310001,0.7985,1.3469
29,0.274636,0.8198,0.320704,0.7867,1.2796
30,0.272396,0.8216,0.364803,0.7498,1.3663
31,0.262624,0.8279,0.303355,0.7870,1.3276
32,0.269712,0.8239,0.288676,0.8046,1.2197
33,0.281311,0.8160,0.300255,0.7962,1.4230
34,0.275231,0.8196,0.267480,0.8193,1.2199
35,0.268471,0.8246,0.310023,0.7950,1.1069
36,0.338149,0.7841,0.336866,0.7712,1.2603
37,0.302229,0.8046,0.343902,0.7602,1.1737
38,0.263399,0.8285,0.287799,0.8041,1.3100
39,0.246613,0.8385,0.274943,0.8162,1.3604
40,0.231561,0.8487,0.300652,0.7901,1.1848
41,0.222171,0.8559,0.297911,0.7918,1.2850
42,0.215673,0.8597,0.293093,0.7931,1.1770
43,0.213005,0.8613,0.290136,0.7976,1.4151
44,0.210157,0.8629,0.308475,0.7845,1.2407
45,0.208260,0.8641,0.331696,0.7719,1.3182
46,0.207405,0.8640,0.338543,0.7629,1.4049
47,0.207909,0.8636,0.394952,0.7351,1.3579
48,0.207184,0.8636,0.276665,0.8079,1.2209
49,0.209714,0.8616,0.313871,0.7791,1.4111
50,0.211405,0.8605,0.379383,0.7468,1.3228
51,0.222389,0.8541,0.312465,0.7816,1.1342
52,0.218350,0.8561,0.320700,0.7765,1.2964
53,0.211127,0.8603,0.313080,0.7795,1.2534
54,0.202031,0.8668,0.271685,0.8062,1.2648
55,0.195782,0.8714,0.281644,0.8009,1.1432
56,0.197987,0.8702,0.285046,0.7953,1.2383
57,0.199940,0.8679,0.264807,0.8172,1.3713
58,0.207883,0.8631,0.278539,0.8019,1.3739
59,0.197372,0.8701,0.321633,0.7786,1.3602
60,0.198431,0.8694,0.308024,0.7859,1.5380
61,0.203722,0.8654,0.267239,0.8099,1.3534
62,0.243061,0.8425,0.300452,0.7870,1.2590
63,0.319081,0.7995,0.358866,0.7522,1.2764
64,0.245659,0.8364,0.265422,0.8191,1.2559
65,0.201270,0.8678,0.270633,0.8063,1.3661
66,0.183094,0.8807,0.269250,0.8079,1.4063
67,0.179431,0.8828,0.305077,0.7902,1.4737
68,0.175008,0.8856,0.279163,0.8012,1.4841
69,0.172204,0.8872,0.300355,0.7922,1.3146
70,0.171914,0.8874,0.299133,0.7913,1.5067
71,0.168614,0.8895,0.290556,0.7986,1.5185
72,0.166790,0.8908,0.295719,0.7971,1.4767
73,0.167683,0.8896,0.281877,0.8013,1.3823
74,0.165373,0.8916,0.312467,0.7896,1.4996
75,0.163863,0.8926,0.275145,0.8057,1.1507
76,0.162887,0.8931,0.331431,0.7786,1.5396
77,0.167729,0.8901,0.266529,0.8151,1.4019
78,0.172595,0.8869,0.252910,0.8215,1.4147
79,0.170201,0.8879,0.293415,0.7984,1.6112
80,0.194978,0.8716,0.341152,0.7819,1.5284
81,0.196936,0.8705,0.273690,0.8048,1.6872
82,0.175249,0.8853,0.304857,0.7919,1.4159
83,0.167101,0.8900,0.276948,0.8006,1.5780
84,0.170183,0.8874,0.286330,0.8039,1.6027
85,0.202994,0.8681,0.296159,0.8048,1.3273
86,0.187859,0.8774,0.282917,0.8037,1.3319
87,0.175587,0.8856,0.306042,0.7937,1.2437
88,0.172452,0.8877,0.260881,0.8148,1.4042
89,0.160934,0.8951,0.302570,0.7938,1.5168
90,0.158620,0.8968,0.308386,0.7907,1.3370
91,0.159605,0.8957,0.274148,0.8081,1.5932
92,0.157742,0.8966,0.294849,0.8017,1.6519
93,0.159399,0.8960,0.282899,0.8053,1.3789
94,0.164020,0.8930,0.353100,0.7741,1.5262
95,0.160450,0.8955,0.313639,0.7920,1.4297
96,0.166675,0.8910,0.323113,0.7914,1.5894
97,0.186597,0.8780,0.277274,0.8117,1.4663
98,0.171726,0.8870,0.359519,0.7724,1.4725
99,0.173631,0.8868,0.306350,0.7955,1.5646
100,0.156087,0.8983,0.290525,0.8049,1.4118
101,0.157616,0.8972,0.262464,0.8159,1.4714
102,0.153485,0.8998,0.262591,0.8159,1.6877
103,0.163148,0.8929,0.249238,0.8235,1.5480
104,0.154094,0.8995,0.297506,0.8021,1.5419
105,0.144159,0.9064,0.251186,0.8237,1.4064
106,0.142329,0.9079,0.279208,0.8054,1.5169
107,0.146257,0.9047,0.260617,0.8219,1.5917
108,0.138678,0.9097,0.304314,0.7975,1.5189
109,0.131513,0.9152,0.267170,0.8179,1.4450
110,0.131628,0.9152,0.321851,0.7894,1.4373
111,0.131454,0.9149,0.302661,0.8029,1.6869
112,0.130495,0.9154,0.318396,0.7947,1.5804
113,0.130858,0.9150,0.327061,0.7895,1.3901
114,0.131893,0.9143,0.282510,0.8108,1.6101
115,0.130008,0.9156,0.309233,0.7972,1.6834
116,0.126118,0.9185,0.314976,0.7950,1.7626
117,0.128816,0.9171,0.344116,0.7862,1.5808
118,0.135325,0.9126,0.331148,0.7910,1.4126
119,0.141345,0.9082,0.297379,0.8040,1.6171
120,0.142640,0.9071,0.282894,0.8090,1.7158
121,0.161654,0.8953,0.287425,0.8041,1.5393
122,0.161939,0.8950,0.352864,0.7790,1.6951
123,0.169700,0.8899,0.283017,0.8123,1.6489
124,0.161977,0.8946,0.280295,0.8062,1.7845
125,0.147299,0.9024,0.338800,0.7871,1.5112
126,0.145277,0.9055,0.313988,0.7940,1.5401
127,0.141088,0.9082,0.261118,0.8221,1.2787
128,0.133870,0.9136,0.320796,0.7983,1.6695
129,0.131733,0.9142,0.288892,0.8075,1.7287
130,0.133438,0.9133,0.341165,0.7843,1.5666
131,0.127887,0.9166,0.335887,0.7882,1.7200
132,0.131341,0.9147,0.490165,0.7239,1.6544
133,0.148796,0.9033,0.409279,0.7568,1.5636
134,0.136857,0.9098,0.331413,0.7894,1.3978
135,0.142833,0.9068,0.348379,0.7801,1.7975
136,0.121539,0.9213,0.287095,0.8128,1.4376
137,0.121473,0.9220,0.312335,0.7987,1.6984
138,0.123809,0.9208,0.293426,0.8085,1.5542
139,0.124301,0.9204,0.287564,0.8113,1.4741
140,0.119238,0.9230,0.327923,0.7944,1.6815
141,0.119814,0.9229,0.363211,0.7790,1.6548
142,0.117507,0.9245,0.284114,0.8127,1.6969
143,0.116595,0.9250,0.322247,0.7967,1.6852
144,0.114054,0.9263,0.347839,0.7874,1.6001
145,0.117191,0.9243,0.348019,0.7871,1.5846
146,0.116797,0.9244,0.323236,0.7975,1.7034
147,0.114621,0.9264,0.293943,0.8098,1.7129
148,0.111750,0.9285,0.353097,0.7837,1.6305
149,0.128607,0.9167,0.378445,0.7760,1.5560
150,0.162560,0.8951,0.275519,0.8149,1.4626
151,0.137925,0.9100,0.341519,0.7874,1.6271
152,0.158064,0.8984,0.362172,0.7800,1.7552
153,0.134270,0.9120,0.314398,0.7990,1.5727
154,0.117471,0.9238,0.346051,0.7874,1.6444
